Price,Close,High,Low,Open,Volume
Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Date,,,,,
2024-04-24,62048.1640625,63032.95703125,61737.578125,62731.37890625,22715154524
2024-04-25,60072.16015625,62655.83984375,59439.6796875,62049.51953125,28296077449
2024-04-26,60111.65234375,60831.46875,58749.97265625,60070.40625,29976524832
2024-04-27,59615.05078125,60560.90234375,59246.2734375,60115.06640625,22571762071
2024-04-28,59289.60546875,59748.80078125,58370.859375,59611.0,18259036101
2024-04-29,58944.4765625,60133.19140625,58665.86328125,59293.69140625,16189827934
2024-04-30,59581.9609375,59881.76953125,57772.57421875,58938.0625,24858897199
2024-05-01,56849.66015625,60387.8125,55395.80078125,59580.37109375,35477414710
2024-05-02,54352.21484375,56993.875,53030.484375,56824.01171875,45195332228
2024-05-03,55099.96484375,55570.62109375,53123.60546875,54351.9296875,30485709223
2024-05-04,58402.6484375,58802.5859375,54857.69140625,55098.91015625,30805199204
2024-05-05,59332.81640625,59893.2421875,58132.890625,58403.75390625,19149206887
2024-05-06,59517.3203125,59975.96484375,58463.4453125,59333.7265625,17006394964
2024-05-07,58643.46875,60813.45703125,58253.734375,59523.99609375,26644936274
2024-05-08,57986.96484375,59816.3515625,57941.53125,58644.2265625,24122062496
2024-05-09,56935.68359375,58638.59765625,56641.48046875,57984.94140625,24275174693
2024-05-10,58478.08203125,58792.4609375,56521.27734375,56938.71875,23607665704
2024-05-11,56400.5,58856.87890625,55880.79296875,58482.93359375,25796046718
2024-05-12,56401.36328125,57011.30859375,56122.03125,56401.03515625,12842168746
2024-05-13,57054.28125,57303.453125,56204.48046875,56401.171875,12813602353
2024-05-14,58284.734375,58734.6484375,56426.62109375,57056.90234375,25842226838
2024-05-15,56919.58984375,58490.94140625,56532.76171875,58284.109375,26064634497
2024-05-16,60860.92578125,61030.4375,56706.09765625,56920.69921875,36566767037
2024-05-17,60022.12109375,61380.83984375,59442.71875,60850.47265625,29051620412
2024-05-18,61630.73046875,62074.77734375,59967.203125,60021.86328125,25764950378
2024-05-19,61528.640625,61939.06640625,61273.75390625,61643.90625,15361089778
2024-05-20,60959.59765625,62143.09375,60640.24609375,61526.0,17704373950
2024-05-21,65787.640625,65831.5,60778.59375,60959.94140625,40376543667
2024-05-22,64618.2578125,66252.1171875,63734.50390625,65782.9140625,43239442691
2024-05-23,63852.8671875,65168.71875,63721.453125,64617.140625,30301891227
2024-05-24,62830.56640625,64533.0859375,61384.23046875,63851.91015625,38750865478
2024-05-25,63137.34375,63803.390625,61568.40625,62829.2421875,26901290234
2024-05-26,63848.375,64137.24609375,63127.87109375,63138.1015625,14262860908
2024-05-27,63159.015625,64069.8671875,62870.390625,63846.84765625,14406071421
2024-05-28,63889.5546875,64998.265625,62826.3046875,63153.5703125,23818670894
2024-05-29,62938.31640625,63950.6171875,61920.109375,63887.3828125,30155171478
2024-05-30,62565.28515625,63456.359375,62116.92578125,62938.4296875,24725995652
2024-05-31,63117.359375,64113.765625,62089.7265625,62563.4296875,27244576509
2024-06-01,62161.078125,63479.875,61443.2734375,63115.078125,25224290872
2024-06-02,62365.33203125,62487.6875,62064.171875,62159.41796875,10723063091
2024-06-03,62428.62890625,63012.16015625,62034.82421875,62368.40625,15766277926
2024-06-04,63082.28515625,64715.6640625,62274.9765625,62430.7421875,29706470423
2024-06-05,64847.828125,65270.68359375,63059.17578125,63082.08984375,30462714742
2024-06-06,65369.96875,66078.859375,64785.8515625,64848.36328125,30173802522
2024-06-07,64964.20703125,65801.921875,64382.1875,65369.984375,23158107329
2024-06-08,64162.6953125,66006.15625,63426.625,64966.05859375,33485109028
2024-06-09,64128.6328125,64339.1796875,64040.69921875,64145.66015625,13196800577
2024-06-10,64615.578125,64652.76953125,63994.52734375,64120.97265625,12556127271
2024-06-11,64581.7734375,65268.8828125,64397.234375,64612.1640625,19136704712
2024-06-12,62692.3828125,64622.05078125,61623.625,64577.87109375,34558574738
2024-06-13,63109.58203125,64536.19921875,62294.8828125,62682.4609375,31903764550
2024-06-14,62171.3671875,63225.6328125,61666.09765625,63111.359375,26966473859
2024-06-15,61562.5390625,63043.3125,60794.69140625,62163.14453125,25557109580
